companyLongName,ISIN_BC,socialFactorAverage
Fondi Amundi Accumulazione - Amundi Accumulazione Mercati Emergenti 2025,IT0005389793_282,0.31
ACATIS Fair Value Aktien Global,LI0017502381_2810,1.0
TL Nachhaltigkeitsfonds,LI0042307384_2810,0.0
AQUIS UCITS - Lumen Vietnam Fund,LI0148578169_205,0.0
Swiss Life GSF - iConstant Orbit,LI0394750827_2810,0.0
Bonafide Investment Fund - Best Catches I,LI0459812520_2810,0.6
NEMO Fund,LI0466183220_2810,0.0
Lemanik SICAV - Asian Opportunity,LU0054300461_246,0.0
DNB Gront Skifte Norden,NO0010102866_337,0.22
DNB Low Carbon Credit,NO0010848997_337,0.86
DNB Teknologi,NO0010827819_664,0.86
DNB Kredittobligasjon,NO0012778523_337,0.86
DNB Obligasjon,NO0012778531_337,0.86
DNB Obligasjon Norden,NO0012771163_337,0.86
DNB Global Emerging Markets,NO0012766213_337,0.86
DNB Global Lavkarbon,NO0012766338_337,0.86
DNB Global,NO0012765991_2021,0.86
DNB Bioteknologi,NO0012766254_2020,0.86
DNB Finans,NO0012778655_2020,0.86
DNB Health Care,NO0012778648_2021,0.86
Kempen European High Dividend Fund N.V.,NL0000293348_2732,0.21
Kempen Profielfondsen N.V. - Kempen Profielfonds 0,NL0010610309_487,0.16
Brummer Multi-Strategy,SE0000912057_648,0.29
Brummer Multi-Strategy Utdelande,SE0005099983_648,0.29
Placerum Dynamisk,SE0013749405_664,0.36
