companyLongName,ISIN_BC,LEI,lookupStatus
Vontobel Fund (CH) - Pension Invest Yield,CH0281016474_393,5493005ZZWAG5GH0G736,NOT_AUTHORIZED
Vontobel Fund (CH) - Pension Invest Balanced,CH0281017506_393,549300XWZ4RD8ILEWJ49,NOT_AUTHORIZED
Julius Baer Edelweiss Fund Equity (CHF),CH0297178714_205,549300KOXOTGUZPWBD38,FOUND
Vontobel Fund (CH) - Vescore Swiss Equity Multi Factor,CH0311188863_393,549300DLUQ81764UOX58,NOT_AUTHORIZED
Variopartner (CH) - 3-Alpha Diversifier Equities USA,CH0487357052_512,549300ZX814NAJ7F5N60,NOT_AUTHORIZED
Variopartner (CH) - 3- Alpha Diversifier Equities Switzerland,CH0487357144_393,549300560H4Y12ZD4R43,NOT_AUTHORIZED
Belfius Equities SICAV - Leading Brands,BE0170210729_2732,5493008S0YQRBBNEQK24,FOUND
MercLan SICAV - Euro obligatiefonds,BE0142525329_3230,549300BMG7SZN9H44W38,NOT_AUTHORIZED
Belfius Equities SICAV - Global Health Care,BE0163901680_3231,549300RHUJF19VIN8D84,NOT_AUTHORIZED
Belfius Select Portfolio SICAV - World Bonds,BE0174873795_487,5493003XNMXHHT712V57,FOUND
Belfius Equities SICAV - Robotics & Innovative  Technology,BE0176734979_3231,549300LZSZDEGNVZ5B26,NOT_AUTHORIZED
Belfius Portfolio FCP - Euro Short Term,BE0057843311_3313,549300TKJMXHWMJ6BN26,NOT_AUTHORIZED
Belfius Equities SICAV - Immo,BE0940607956_487,54930085WQ8X8JREEL94,FOUND
Belfius Equities SICAV - China,BE0945530716_2732,549300BXJPHK5TUR0I29,FOUND
Belfius Equities SICAV - Europe Small & Mid Caps,BE0948878245_3313,549300W0D2C15YV4VL46,NOT_AUTHORIZED
TreeTop SICAV - TreeTop World ESG Leaders Equity Index,BE6275981817_9760,549300HVR72G7G7MFP64,FOUND
Belfius Portfolio FCP - Global Allocation Bonds,BE6286681141_3313,549300MCK5SL4DE3V157,NOT_AUTHORIZED
Great Dane - Globale Aktier,DK0060579423_12,549300W7O3XKK2SQ0O26,FOUND
Great Dane - Afdeling Europa Value,DK0061671799_12,5493005HV0HVQDF1RO95,FOUND
CBNK Mixto 25 FI,ES0173856032_3230,95980020140005195109,NOT_AUTHORIZED
Gestifonsa Mixto 10 FI,ES0126536038_3230,95980020140005195303,NOT_AUTHORIZED
CBNK Renta Fija Corto Plazo FI,ES0126551037_3230,95980020140005195206,NOT_AUTHORIZED
CBNK Renta Variable Espana FI,ES0138253036_3230,95980020140005194624,NOT_AUTHORIZED
CBNK Renta Fija Euro FI,ES0138712031_3230,95980020140005195012,NOT_AUTHORIZED
CBNK Renta Fija Flexible FI,ES0126553033_3230,95980020140005194915,NOT_AUTHORIZED
Sabadell Interes Euro FI,ES0174403032_3230,95980020140005413941,NOT_AUTHORIZED
Sabadell Rendimiento FI,ES0173829039_3230,95980020140005407054,NOT_AUTHORIZED
Gestifonsa Renta Variable Euro FI,ES0138168036_3230,95980020140005194527,NOT_AUTHORIZED
Inversabadell 70 FI,ES0174434037_3230,95980020140005407830,NOT_AUTHORIZED
Sabadell Espana Bolsa Futuro FI,ES0111092039_1058,95980020140005413165,NOT_AUTHORIZED
Sabadell Inversion Etica y Solidaria FI,ES0182543035_3230,95980020140005408121,NOT_AUTHORIZED
Sabadell Prudente FI,ES0111187003_3230,95980020140005405987,NOT_AUTHORIZED
CBNK Objetivo 2024 FI,ES0116371008_3230,95980020140005193557,NOT_AUTHORIZED
Magallanes European Equity FI,ES0159259003_3230,959800B7PZ285YKVNF32,NOT_AUTHORIZED
Magallanes Iberian Equity FI,ES0159201005_3230,959800LRKP2Y2ZG69U75,NOT_AUTHORIZED
Sabadell Equilibrado FI,ES0174436008_3230,959800AR77XY8AKWRZ56,NOT_AUTHORIZED
Sabadell Dinamico FI,ES0107489009_3230,9598009T48MGAW1MJJ52,NOT_AUTHORIZED
Vanguard Primecap Fund,US9219361006_1630,SHYKZ9CKK7NENE4ODA76,NOT_AUTHORIZED
R-co OPAL Modere FCP,FR0007028907_3313,969500WP7GJ3KDR1HX34,NOT_AUTHORIZED
Ofi Invest Performance FCP,FR0007488689_3313,969500C2JU1H81FLTD43,NOT_AUTHORIZED
